X [mm], Y [mm], Z [mm], Heading [degrees], Filename
37662, 9722, 65, -41.907, frame00000.jpg
37652, 9734, 65, -41.907, frame00001.jpg
37641, 9746, 65, -41.907, frame00002.jpg
37631, 9757, 65, -41.907, frame00003.jpg
37620, 9769, 65, -41.907, frame00004.jpg
37610, 9781, 65, -41.907, frame00005.jpg
37599, 9792, 65, -41.907, frame00006.jpg
37589, 9804, 65, -41.907, frame00007.jpg
37578, 9816, 65, -41.907, frame00008.jpg
37568, 9827, 65, -41.907, frame00009.jpg
37557, 9839, 65, -41.907, frame00010.jpg
37547, 9851, 65, -41.912, frame00011.jpg
37536, 9863, 65, -46.062, frame00012.jpg
37524, 9875, 65, -46.062, frame00013.jpg
37511, 9886, 65, -46.062, frame00014.jpg
37499, 9898, 65, -46.062, frame00015.jpg
37486, 9910, 65, -46.062, frame00016.jpg
37474, 9922, 65, -46.062, frame00017.jpg
37462, 9934, 65, -46.062, frame00018.jpg
37449, 9946, 65, -46.062, frame00019.jpg
37437, 9958, 65, -46.062, frame00020.jpg
37424, 9970, 65, -46.062, frame00021.jpg
37412, 9982, 65, -46.062, frame00022.jpg
37400, 9994, 65, -46.052, frame00023.jpg
37387, 10006, 65, -41.458, frame00024.jpg
37376, 10019, 65, -41.458, frame00025.jpg
37365, 10031, 65, -41.458, frame00026.jpg
37354, 10044, 65, -41.458, frame00027.jpg
37343, 10056, 65, -41.458, frame00028.jpg
37332, 10069, 65, -41.458, frame00029.jpg
37321, 10081, 65, -41.458, frame00030.jpg
37310, 10094, 65, -41.458, frame00031.jpg
37299, 10106, 65, -41.458, frame00032.jpg
37288, 10119, 65, -41.458, frame00033.jpg
37277, 10131, 65, -41.458, frame00034.jpg
37266, 10144, 65, -41.439, frame00035.jpg
37255, 10156, 65, -36.494, frame00036.jpg
37244, 10171, 65, -36.494, frame00037.jpg
37233, 10185, 65, -36.494, frame00038.jpg
37223, 10199, 65, -36.494, frame00039.jpg
37212, 10213, 65, -36.494, frame00040.jpg
37202, 10228, 65, -36.494, frame00041.jpg
37191, 10242, 65, -36.494, frame00042.jpg
37181, 10256, 65, -36.494, frame00043.jpg
37170, 10271, 65, -36.494, frame00044.jpg
37159, 10285, 65, -36.494, frame00045.jpg
37149, 10299, 65, -36.494, frame00046.jpg
37138, 10313, 65, -36.534, frame00047.jpg
37128, 10328, 65, -44.981, frame00048.jpg
37115, 10340, 65, -44.981, frame00049.jpg
37103, 10353, 65, -44.981, frame00050.jpg
37090, 10365, 65, -44.981, frame00051.jpg
37078, 10377, 65, -44.981, frame00052.jpg
37066, 10390, 65, -44.981, frame00053.jpg
37053, 10402, 65, -44.981, frame00054.jpg
37041, 10415, 65, -44.981, frame00055.jpg
37028, 10427, 65, -44.981, frame00056.jpg
37016, 10439, 65, -44.981, frame00057.jpg
37004, 10452, 65, -44.981, frame00058.jpg
36991, 10464, 65, -44.981, frame00059.jpg
36979, 10477, 65, -44.919, frame00060.jpg
36966, 10490, 65, -44.919, frame00061.jpg
36953, 10502, 65, -44.919, frame00062.jpg
36941, 10515, 65, -44.919, frame00063.jpg
36928, 10528, 65, -44.919, frame00064.jpg
36915, 10541, 65, -44.919, frame00065.jpg
36902, 10553, 65, -44.919, frame00066.jpg
36890, 10566, 65, -44.919, frame00067.jpg
36877, 10579, 65, -44.919, frame00068.jpg
36864, 10592, 65, -44.919, frame00069.jpg
36851, 10605, 65, -44.919, frame00070.jpg
36839, 10617, 65, -44.918, frame00071.jpg
36826, 10630, 65, -44.850, frame00072.jpg
36813, 10643, 65, -44.850, frame00073.jpg
36801, 10655, 65, -44.850, frame00074.jpg
36789, 10667, 65, -44.850, frame00075.jpg
36776, 10680, 65, -44.850, frame00076.jpg
36764, 10692, 65, -44.850, frame00077.jpg
36752, 10705, 65, -44.850, frame00078.jpg
36739, 10717, 65, -44.850, frame00079.jpg
36727, 10729, 65, -44.850, frame00080.jpg
36715, 10742, 65, -44.850, frame00081.jpg
36702, 10754, 65, -44.850, frame00082.jpg
36690, 10767, 65, -44.819, frame00083.jpg
36678, 10779, 65, -41.174, frame00084.jpg
36666, 10792, 65, -41.174, frame00085.jpg
36655, 10806, 65, -41.174, frame00086.jpg
36643, 10819, 65, -41.174, frame00087.jpg
36631, 10832, 65, -41.174, frame00088.jpg
36620, 10845, 65, -41.174, frame00089.jpg
36608, 10858, 65, -41.174, frame00090.jpg
36597, 10871, 65, -41.174, frame00091.jpg
36585, 10885, 65, -41.174, frame00092.jpg
36574, 10898, 65, -41.174, frame00093.jpg
36562, 10911, 65, -41.174, frame00094.jpg
36551, 10924, 65, -41.186, frame00095.jpg
36539, 10937, 65, -42.337, frame00096.jpg
36527, 10950, 65, -42.337, frame00097.jpg
36516, 10963, 65, -42.337, frame00098.jpg
36504, 10976, 65, -42.337, frame00099.jpg
36492, 10989, 65, -42.337, frame00100.jpg
36480, 11003, 65, -42.337, frame00101.jpg
36468, 11016, 65, -42.337, frame00102.jpg
36456, 11029, 65, -42.337, frame00103.jpg
36444, 11042, 65, -42.337, frame00104.jpg
36432, 11055, 65, -42.337, frame00105.jpg
36420, 11068, 65, -42.337, frame00106.jpg
36408, 11081, 65, -42.389, frame00107.jpg
36396, 11094, 65, -47.060, frame00108.jpg
36383, 11106, 65, -47.060, frame00109.jpg
36370, 11118, 65, -47.060, frame00110.jpg
36357, 11131, 65, -47.060, frame00111.jpg
36344, 11143, 65, -47.060, frame00112.jpg
36331, 11155, 65, -47.060, frame00113.jpg
36318, 11167, 65, -47.060, frame00114.jpg
36304, 11180, 65, -47.060, frame00115.jpg
36291, 11192, 65, -47.060, frame00116.jpg
36278, 11204, 65, -47.060, frame00117.jpg
36265, 11216, 65, -47.060, frame00118.jpg
36252, 11228, 65, -46.974, frame00119.jpg
36239, 11241, 65, -39.507, frame00120.jpg
36228, 11254, 65, -39.507, frame00121.jpg
36217, 11267, 65, -39.507, frame00122.jpg
36206, 11280, 65, -39.507, frame00123.jpg
36196, 11293, 65, -39.507, frame00124.jpg
36185, 11306, 65, -39.507, frame00125.jpg
36174, 11319, 65, -39.507, frame00126.jpg
36163, 11332, 65, -39.507, frame00127.jpg
36153, 11345, 65, -39.507, frame00128.jpg
36142, 11358, 65, -39.507, frame00129.jpg
36131, 11372, 65, -39.507, frame00130.jpg
36120, 11385, 65, -39.536, frame00131.jpg
36109, 11398, 65, -41.538, frame00132.jpg
36097, 11412, 65, -41.538, frame00133.jpg
36084, 11426, 65, -41.538, frame00134.jpg
36072, 11440, 65, -41.538, frame00135.jpg
36059, 11454, 65, -41.538, frame00136.jpg
36047, 11468, 65, -41.538, frame00137.jpg
36034, 11482, 65, -41.538, frame00138.jpg
36022, 11496, 65, -41.538, frame00139.jpg
36010, 11510, 65, -41.538, frame00140.jpg
35997, 11524, 65, -41.538, frame00141.jpg
35985, 11539, 65, -41.538, frame00142.jpg
35972, 11553, 65, -41.592, frame00143.jpg
35960, 11567, 65, -45.539, frame00144.jpg
35947, 11579, 65, -45.539, frame00145.jpg
35935, 11591, 65, -45.539, frame00146.jpg
35922, 11603, 65, -45.539, frame00147.jpg
35910, 11616, 65, -45.539, frame00148.jpg
35897, 11628, 65, -45.539, frame00149.jpg
35885, 11640, 65, -45.539, frame00150.jpg
35872, 11652, 65, -45.539, frame00151.jpg
35860, 11665, 65, -45.539, frame00152.jpg
35847, 11677, 65, -45.539, frame00153.jpg
35835, 11689, 65, -45.539, frame00154.jpg
35822, 11701, 65, -45.523, frame00155.jpg
35810, 11713, 65, -44.535, frame00156.jpg
35797, 11726, 65, -44.535, frame00157.jpg
35785, 11739, 65, -44.535, frame00158.jpg
35772, 11752, 65, -44.535, frame00159.jpg
35760, 11765, 65, -44.535, frame00160.jpg
35747, 11777, 65, -44.535, frame00161.jpg
35735, 11790, 65, -44.535, frame00162.jpg
35722, 11803, 65, -44.535, frame00163.jpg
35709, 11816, 65, -44.535, frame00164.jpg
35697, 11829, 65, -44.535, frame00165.jpg
35684, 11841, 65, -44.535, frame00166.jpg
35672, 11854, 65, -44.490, frame00167.jpg
35659, 11867, 65, -41.865, frame00168.jpg
35647, 11880, 65, -41.865, frame00169.jpg
35635, 11893, 65, -41.865, frame00170.jpg
35624, 11906, 65, -41.865, frame00171.jpg
35612, 11920, 65, -41.865, frame00172.jpg
35600, 11933, 65, -41.865, frame00173.jpg
35588, 11946, 65, -41.865, frame00174.jpg
35576, 11959, 65, -41.865, frame00175.jpg
35565, 11972, 65, -41.865, frame00176.jpg
35553, 11985, 65, -41.865, frame00177.jpg
35541, 11999, 65, -41.865, frame00178.jpg
35529, 12012, 65, -41.900, frame00179.jpg
35517, 12025, 65, -43.709, frame00180.jpg
35505, 12038, 65, -43.709, frame00181.jpg
35492, 12052, 65, -43.709, frame00182.jpg
35479, 12065, 65, -43.709, frame00183.jpg
